 Use Code,Use
U-779 ,"A METHOD FOR TREATMENT OF A CANCER, WHEREIN THE CANCER IS CHRONIC MYELOGENOUS LEUKEMIA"
U-2215 ,ERTUGLIFLOZIN IN COMBINATION WITH SITAGLIPTIN AND IN FURTHER COMBINATION WITH METFORMIN AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS
U-2216 ,ERTUGLIFLOZIN AND SITAGLIPTIN IN COMBINATION AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS
U-1506 ,"TREATMENT OF PATIENTS WITH GASTROINTESTINAL STROMAL TUMOR (GIST), INCLUDING BUT NOT LIMITED TO PATIENTS PREVIOUSLY TREATED WITH IMATINIB AND PATIENTS WITH GIST HAVING RESISTANCE TO A KIT TYROSINE KINASE INHIBITOR"
U-2352 ,TREATMENT OF HIV-1 INFECTION IN ADULTS WHO HAVE NO PRIOR ANTIRETROVIRAL TREATMENT HISTORY OR ARE VIROLOGICALLY SUPPRESSED ON A STABLE ANTIRETROVIRAL REGIMEN FOR AT LEAST 6 MONTHS
U-2353 ,TX OF HIV-1 INFECTION USING A COMPOSITION CONTAINING A PK ENHANCER THAT INHIBITS CYTOCHROME P450 MONOOXYGENATES IN ADULTS WHO HAVE NO PRIOR ANTIRETROVIRAL TX HISTORY OR ARE VIROLOGICALLY SUPPRESSED ON A STABLE ANTIRETROVIRAL REGIMEN FOR AT LEAST 6 MONTHS
U-2364 ,TREATMENT OF HIV-1 INFECTION USING A COMPOSITION CONTAINING A PHARMACOKINETIC ENHANCER THAT INHIBITS CYTOCHROME P450 MONOOXYGENASE IN ADULTS WHO HAVE NO PRIOR ANTIRETROVIRAL TREATMENT HISTORY
U-2365 ,TREATMENT OF HIV-1 INFECTION USING A COMPOSITION CONTAINING A PHARMACOKINETIC ENHANCER THAT INIBITS CYTOCHROME P450 MONOOXYGENASE IN ADULTS WHO ARE VIROLOGICALLY SUPPRESSED ON A STABLE ANTIRETROVIRAL REGIMEN FOR AT LEAST 6 MONTHS
U-1777 ,"TREATMENT OF PATIENTS WITH METASTATIC EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) T790M MUTATION-POSITIVE NON-SMALL CELL LUNG CANCER (NSCLC), WHO HAVE PROGRESSED ON OR AFTER EGFR TKI THERAPY"
U-2289 ,TREATMENT OF PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WHOSE TUMORS HAVE EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) EXON 19 DELETIONS OR EXON 21L858R MUTATIONS
U-659 ,TREATMENT OF LOCALLY ADVANCED OR METASTATIC NON SMALL-CELL LUNG CANCER (NSCLC) AFTER FAILURE OF AT LEAST ONE PRIOR CHEMOTHERAPY REGIMEN
U-875 ,"FIRST-LINE TREATMENT OF LOCALLY ADVANCED UNRESECTABLE OR METASTATIC PANCREATIC CANCER, IN COMBINATION WITH GEMCITABINE"
U-1046 ,MAINTENANCE TREATMENT OF PATIENTS WITH LOCALLY ADVANCED OR METASTATIC NSCLC WHOSE DISEASE HAS NOT PROGRESSED AFTER FOUR CYCLES PLATINUM-BASED CHEMOTHERAPY
U-1403 ,FIRST-LINE TREATMENT OF METASTATIC NON SMALL-CELL LUNG CANCER (NSCLC) WITH EGFR EXON 19 DELETIONS OR EXON 21 (L858R) SUBSTITUTION MUTATIONS AS DETECTED BY AN FDA-APPROVED TEST
U-1045 ,MAINTENANCE TREATMENT IN PATIENTS WITH LOCALLY ADVANCED OR METASTATIC NSCLC WHO HAVE NOT PROGRESSED ON 1ST-LINE TREATMENT WTH PLATINUM-BASED CHEMOTHERAPY
U-2294 ,TREATMENT OF THROMBOCYTOPENIA IN ADULT PATIENTS WITH CHRONIC IMMUNE THROMBOCYTOPENIA (ITP) WHO HAVE HAD AN INSUFFICIENT RESPONSE TO A PREVIOUS TREATMENT
U-2350 ,A METHOD OF TREATING A CANCER CHARACTERIZED BY AN IDH1 MUTATION WHERE THE CANCER IS ACUTE MYELOGENOUS LEUKEMIA (AML)
U-2351 ,TREATMENT OF ACUTE MYELOID LEUKEMIA (AML) WITH AN IDH1 MUTATION
U-867 ,TREATMENT OF MIGRAINE
U-1719 ,ACUTE TREATMENT OF MIGRAINE 
U-1439 ,METHOD OF TREATING AN AFFECTIVE DISORDER SUCH AS DEPRESSION
U-1668 ,METHOD OF TREATING DEPRESSION OR MAJOR DEPRESSIVE DISORDER
U-2309 ,"USE IN THE TREATMENT OF MAJOR DEPRESSIVE DISORDER TO IMPROVE PROCESSING SPEED, AN ASPECT OF COGNITIVE FUNCTION"
U-2436 ,USE IN THE TREATMENT OF MAJOR DEPRESSIVE DISORDER TO IMPROVE TREATMENT EMERGENT SEXUAL DYSFUNCTION (TESD) INDUCED BY PRIOR SEROTONIN REUPTAKE INHIBITOR TREATMENT
U-1964 ,ELEVATION OF INTRACELLULAR CGMP RESULTING IN INCREASED INTESTINAL FLUID AND ACCELERATED TRANSIT
U-1999 ,CHRONIC IDIOPATHIC CONSTIPATION
U-2230 ,IRRITABLE BOWEL SYNDROME WITH CONSTIPATION
U-800 ,"TREATMENT OF PATIENTS WITH ADVANCED OR METASTATIC BREAST CANCER WHOSE TUMORS OVEREXPRESS HER2 AND WHO HAVE RECEIVED PRIOR THERAPY INCLUDING ANTHRACYCLINE, A TAXANE AND TRASTUZUMAB"
U-1429 ,TREATMENT OF PATIENTS WITH BREAST CANCER WHOSE TUMORS OVEREXPRESS THE HER2 RECEPTOR
U-954 ,CHRONIC MANAGEMENT OF HYPERURICEMIA IN PATIENTS WITH GOUT. NOT RECOMMENDED FOR THE TREATMENT OF ASYMPTOMATIC HYPERURICEMIA
U-1346 ,"USE OF FEBUXOSTAT FOR THE MANAGEMENT OF HYPERURICEMIA IN PATIENTS SUFFERING FROM GOUT AND, WHEN USED WITH THEOPHYLLINE WITHOUT THE NEED FOR DOSE ADJUSTMENT OF THEOPHYLLINE"
U-1797 ,METHOD OF TREATING PULMONARY ARTERIAL HYPERTENSION COMPRISING ADMINISTERING A PHARMACEUTICAL COMPOSITION COMPRISING SELEXIPAG
U-1798 ,METHOD OF TREATING PULMONARY ARTERIAL HYPERTENSION COMPRISING ADMINISTERING SELEXIPAG IN COMBINATION WITH THE ENDOTHELIN RECEPTOR ANTAGONIST MACITENTAN
U-1831 ,METHOD OF TREATING PULMONARY ARTERIAL HYPERTENSION COMPRISING ADMINISTERING A CRYSTALLINE FORM OF SELEXIPAG
U-999 ,TREATMENT OF CHRONIC HEPATITIS B IN ADULT PATIENTS
U-2323 ,"TREATMENT OF PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) OR SMALL LYMPHOCYTIC LYMPHOMA (SLL), WITH OR WITHOUT 17P DELETION, WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY"
U-2445 ,"TREATMENT IN COMBINATION WITH AZACITIDINE OR DECITABINE OR LOW-DOSE CYTARABINE OF NEWLY-DIAGNOSED ACUTE MYELOID LEUKEMIA (AML) IN ADULTS WHO ARE AGE 75 YEARS OR OLDER, OR WHO HAVE COMORBIDITIES THAT PRECLUDE USE OF INTENSIVE INDUCTION CHEMOTHERAPY"
U-2446 ,"TREATMENT OF ADULT PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) OR SMALL LYMPHOCYTIC LYMPHOMA (SLL), WITH OR WITHOUT 17P DELETION, WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY"
U-2132 ,"IN COMBINATION WITH FULVESTRANT FOR THE TREATMENT OF WOMEN WITH HORMONE RECEPTOR (HR)-POSITIVE, HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2)-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER WITH DISEASE PROGRESSION FOLLOWING ENDOCRINE THERAPY"
U-2135 ,"AS MONOTHERAPY FOR THE TREATMENT OF ADULT PATIENTS WITH HR-POSITIVE, HER2-NEGATIVE ADVANCED OR METASTIC BREAST CANCER WITH DISEASE PROGRESSION FOLLOWING ENDOCRINE THERAPY AND PRIOR CHEMOTHERAPY IN THE METASTATIC SETTING"
U-2251 ,"IN COMBINATION WITH AN AROMATASE INHIBITOR AS INITIAL ENDOCRINE-BASED THERAPY FOR THE TREATMENT OF POSTMENOPAUSAL WOMEN WITH HORMONE RECEPTOR (HR)-POSITIVE, HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2)-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER"
U-1709 ,TREATMENT OF IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) WITH VIBERZI (ELUXADOLINE).
U-1738 ,TREATMENT OF IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) WITH VIBERZI (ELUXADOLINE)
U-2152 ,TREATMENT OF PAIN ASSOCIATED WITH IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) WITH VIBERZI (ELUXADOLINE)
U-2039 ,"TREATMENT OF ADULT PATIENTS WITH CHRONIC HCV INFECTION WHO HAVE GENOTYPE 1, 2, 3, 4, 5, OR 6 INFECTION AND HAVE PREVIOUSLY BEEN TREATED WITH AN HCV REGIMEN CONTAINING AN NS5A INHIBITOR"
U-2040 ,TREATMENT OF ADULT PATIENTS WITH CHRONIC HCV INFECTION WHO HAVE GENOTYPE 1A OR 3 INFECTION AND HAVE PREVIOUSLY BEEN TREATED WITH AN HCV REGIMEN CONTAINING SOFOSBUVIR WITHOUT AN NS5A INHIBITOR
U-1993 ,ADJUNCTIVE TREATMENT TO LEVODOPA/CARBIDOPA IN PATIENTS WITH PARKINSON'S DISEASE EXPERIENCING 'OFF' EPISODES
U-1301 ,TREATMENT OF DEEP VEIN THROMBOSIS (DVT)
U-1302 ,TREATMENT OF PULMONARY EMBOLISM (PE)
U-1200 ,REDUCING THE RISK OF STROKE AND SYSTEMIC EMBOLISM
U-1303 ,REDUCTION IN THE RISK OF RECURRENCE OF DEEP VEIN THROMBOSIS (DVT) AND PULMONARY EMBOLISM
U-2142 ,REDUCTION IN THE RISK OF RECURRENCE OF DEEP VEIN THROMBOSIS (DVT) AND/OR PULMONARY EMBOLISM (PE) IN PATIENTS AT CONTINUED RISK FOR RECURRENT DVT AND/OR AFTER COMPLETION OF INITIAL TREATMENT LASTING AT LEAST 6 MONTHS
U-1953 ,"REDUCE THE RISK OF STROKE IN PATIENTS WITH NONVALVULAR ATRIAL FIBRILLATION WITH ONCE DAILY, RAPID-RELEASE TABLET ADMINISTERED FOR AT LEAST FIVE CONSECUTIVE DAYS"
U-1954 ,"TREATMENT OF DEEP VEIN THROMBOSIS WITH ONCE DAILY, RAPID-RELEASE TABLET ADMINISTERED FOR AT LEAST FIVE CONSECUTIVE DAYS"
U-1955 ,"TREATMENT OF PULMONARY EMBOLISM WITH ONCE DAILY, RAPID-RELEASE TABLET ADMINISTERED FOR AT LEAST FIVE CONSECUTIVE DAYS"
U-1957 ,"PROPHYLAXIS OF DEEP VEIN THROMBOSIS, WHICH MAY LEAD TO PULMONARY EMBOLISM IN PATIENTS UNDERGOING KNEE OR HIP REPLACEMENT SURGERY, WITH ONCE DAILY, RAPID-RELEASE TABLET ADMINISTERED FOR AT LEAST FIVE CONSECUTIVE DAYS"
U-2143 ,"AFTER COMPLETION OF INITIAL TREATMENT LASTING AT LEAST 6 MONTHS, TO REDUCE THE RISK OF RECURRENCE OF DEEP VEIN THROMBOSIS AND/OR PULMONARY EMBOLISM IN CERTAIN PATIENTS WITH ONCE DAILY, RAPID-RELEASE TABLET ADMINISTERED FOR AT LEAST 5 CONSECUTIVE DAYS"
U-1956 ,"FOLLOWING INITIAL 6 MONTHS TREATMENT FOR DEEP VEIN THROMBOSIS (DVT) AND/OR PULMONARY EMBOLISM (PE), REDUCTION IN THE RISK OF RECURRENCE OF DVT AND OF PE WITH ONCE DAILY, RAPID-RELEASE TABLET ADMINISTERED FOR AT LEAST FIVE CONSECUTIVE DAYS"
U-2435 ,"REDUCTION OF RISK OF MAJOR CARDIOVASCULAR EVENTS (CV DEATH, MI, AND STROKE) IN CHRONIC CAD OR PAD"
U-2322 ,TREATMENT OF ADULT PATIENTS WITH MODERATELY TO SEVERELY ACTIVE ULCERATIVE COLITIS (UC)
U-1979 ,THE TREATMENT OF CARCINOID SYNDROME DIARRHEA IN COMBINATION WITH SOMATOSTATIN ANALOG (SSA) THERAPY IN ADULTS INADEQUATELY CONTROLLED BY SSA THERAPY
U-1707 ,TREATMENT OF IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) IN ADULTS AND SYMPTOMS THEREOF.
U-1708 ,TREATMENT OF IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) IN ADULTS.
U-1481 ,REDUCTION IN RISK OF OVERT HEPATIC ENCEPHALOPATHY (HE) RECURRENCE
U-1526 ,THE TREATMENT OF PATIENTS WITH TRAVELERS' DIARRHEA (TD) OR THE REDUCTION IN RISK OF OVERT HEPATIC ENCEPHALOPATHY (HE) RECURRENCE
U-1562 ,TREATMENT OF PATIENTS WITH HEPATIC ENCEPHALOPATHY (HE) 
U-1994 ,REDUCTION IN RISK OF OVERT HEPATIC ENCEPHALOPATHY (HE) IN ADULTS 
U-2456 ,TREATMENT OF ACUTE MYELOID LEUKEMIA (AML)
U-1418 ,TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAFV600E MUTATION AS DETECTED BY AN FDA APPROVED TEST
U-2164 ,ZELBORAF IS INDICATED FOR THE TREATMENT OF PATIENTS WITH ERDHEIM-CHESTER DISEASE WITH BRAF V600 MUTATION
U-1813 ,TREATMENT OF PATIENTS INFECTED WITH HEPATITIS C VIRUS
U-1512 ,REDUCTION OF THROMBOTIC CARDIOVASCULAR EVENTS
U-2291 ,REDUCTION OF THROMBOTIC CARDIOVASCULAR EVENTS IN PATIENTS WITH A HISTORY OF MYOCARDIAL INFARCTION (MI) OR WITH PERIPHERAL ARTERIAL DISEASE (PAD)
U-2311 ,TREATMENT OF HYPERURICEMIA ASSOCIATED WITH GOUT IN PATIENTS WHO HAVE NOT ACHIEVED TARGET SERUM URIC ACID LEVELS WITH A XANTHINE OXIDASE INHIBITOR ALONE
U-1801 ,REDUCTION OF SERUM URIC ACID LEVELS
U-1802 ,TREATMENT OF GOUT
U-1804 ,ACHIEVING A THERAPEUTIC BENEFIT IN A SUBJECT WITH GOUT
U-1803 ,TREATMENT OF HYPERURICEMIA
U-1806 ,COADMINISTERING WITH ALLOPURINOL TO REDUCE SERUM URIC ACID (SUA) BELOW 4 MG/DL; BELOW 6MG/DL IN PATIENTS HAVING URIC ACID DEPOSITS; AND/OR BELOW 6MG/DL WITH SUA INTRADAY CHANGE MORE THAN 50% AND/OR ADVERSE EVENT RATE LESS THAN 15%
U-1560 ,"A METHOD OF DISRUPTING LEUKOCYTE FUNCTION, INCLUDING AS AN INHIBITOR OF PI3KDELTA KINASE"
U-1549 ,FOR THE TREATMENT OF PATIENTS WITH RELAPSED CHRONIC LYMPHOCYTIC LEUKEMIA
U-1615 ,"FOR THE TREATMENT OF PATIENTS WITH CLL, FL, OR SLL"
U-1678 ,"FOR THE TREATMENT OF PATIENTS WITH CLL, FL, OR SLL"
U-1757 ,INHIBITION ON PI3K KINASE
U-1914 ,"IN COMBINATION WITH RITUXIMAB, FOR THE TREATMENT OF PATIENTS WITH RELAPSED CHRONIC LYMPHOCYTIC LEUKEMIA (CLL)"
U-1558 ,FOR THE TREATMENT OF PATIENTS WITH RELAPSED FOLLICULAR B-CELL NON-HODGKIN LYMPHOMA OR [RELAPSED] SMALL LYMPHOCYTIC LYMPHOMA
U-1579 ,USE IN COMBINATION WITH PREDNISONE FOR THE TREATMENT OF PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER
U-1580 ,USE IN COMBINATION WITH PREDNISONE FOR THE TREATMENT OF PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER WHO HAD RECEIVED PRIOR DOCETAXEL CHEMOTHERAPY
U-2235 ,USE IN COMBINATION WITH PREDNISONE FOR THE TREATMENT OF PATIENTS WITH METASTATIC HIGH-RISK CASTRATION-SENSITIVE PROSTATE CANCER
U-1351 ,TREATMENT OF ACUTE PAIN
U-2326 ,TREATMENT OF NOCTURIA DUE TO NOCTURNAL POLYURIA IN ADULTS
U-2327 ,"TREATMENT OF NOCTURIA DUE TO NOCTURNAL POLYURIA IN ADULTS, COMPRISING MONITORING A PATIENT'S SERUM SODIUM CONCENTRATION"
U-326 ,METHOD OF TREATING SCHIZOPHRENIA AND BIPOLAR DISORDER
U-1960 ,USE OF THE ATYPICAL ANTIPSYCHOTIC ASENAPINE FOR TREATMENT OF SCHIZOPHRENIA IN ADULTS
U-1961 ,USE OF THE ATYPICAL ANTIPSYCHOTIC ASENAPINE FOR TREATMENT OF MANIC OR MIXED EPISODES OF BIPOLAR I DISORDER: ACUTE MONOTHERAPY OF MANIC OR MIXED EPISODES (AGES 10 TO ADULT)
U-1962 ,USE OF THE ATYPICAL ANTIPSYCHOTIC ASENAPINE FOR TREATMENT OF MANIC OR MIXED EPISODES OF BIPOLAR I DISORDER: MAINTENANCE MONOTHERAPY IN ADULTS
U-1963 ,USE OF THE ATYPICAL ANTIPSYCHOTIC ASENAPINE FOR TREATMENT OF MANIC OR MIXED EPISODES OF BIPOLAR I DISORDER: AS ADJUNCTIVE TREATMENT TO LITHIUM OR VALPROATE IN ADULTS
U-1064 ,TREATMENT OF BIPOLAR DISORDER AND SCHIZOPHRENIA
U-1893 ,METHOD OF TREATING MANIC OR MIXED EPISODES ASSOCIATED WITH BIPOLAR DISORDER IN PEDIATRIC PATIENTS
U-1966 ,USE OF THE ATYPICAL ANTIPSYCHOTIC ASENAPINE FOR TREATMENT OF MANIC OR MIXED EPISODES OF BIPOLAR I DISORDER: ACUTE MONOTHERAPY OF MANIC OR MIXED EPISODES IN PEDIATRIC PATIENTS AGE 10-17
U-1421 ,SUBLINGUAL ADMINISTRATION OF A PHARMACEUTICAL COMPOSITION COMPRISING BUPRENORPHINE
U-1425 ,SUBLINGUAL ADMINISTRATION OF A PHARMACEUTICAL COMPOSITION COMPRISING BUPRENORPHINE AND NALOXONE
U-1494 ,SUBLINGUAL OR BUCCAL ADMINISTRATION OF A PHARMACEUTICAL COMPOSITION COMPRISING BUPRENORPHINE AND NALOXONE
